"year" "month" "flds_mean" "flds_total" "fsds_mean" "fsds_total" "prec" "psrf" "rh" "temp" "wind" "temp_max" "temp_min"
2005 7 392.819913422027 292258.015585988 256.356440860215 190729.192 92.15 98331.2715053763 75.5742217741935 297.78635007928 2.82228225806452 307.099993896484 288.553993896484
2005 8 397.899471774194 296037.207 226.613713709677 168600.603 201.15 98325.6008064516 78.4648024193548 297.933626961 2.70017941497288 306.144993896484 287.303993896484
2005 9 370.443845833333 266719.569 197.774629166667 142397.733 85.75 98582.2652777778 73.7746708333333 295.215335563151 2.9852408441264 303.154993896484 281.265993896484
2005 10 331.785012096774 246848.049 136.94825 101889.498 27.95 98504.6733870968 71.6541545698925 287.410360831968 3.26220595268065 301.256993896484 276.495993896484
2005 11 303.889313888889 218800.306 91.6630652777778 65997.407 117.4 98242.4250737149 60.5917819444444 281.755256396484 4.56738749780975 296.278993896484 263.098993896484
2005 12 282.087732526882 209873.273 61.1243588709677 45476.523 50.1 98312.7066818394 80.922810483871 271.536441477129 3.83272890432497 286.509993896484 259.032993896484
2006 1 304.938596707319 226874.315950246 70.9154637393264 52761.1050220588 88.8409420289855 98085.052779769 74.5467736191526 277.570980074555 4.52299264180944 290.449993896484 268.279993896484
2006 2 268.727404761905 180584.816 129.36077827381 86930.443 42 98413.0985366861 64.9999464285714 273.444458182198 3.93535456075588 290.139993896484 256.979993896484
2006 3 303.251516129032 225619.128 137.379786290323 102210.561 160.1 98445.9543010753 66.9166426733041 278.620853050017 3.92228638424325 295.219993896484 267.249993896484
2006 4 339.038365277778 244107.623 204.778572222222 147440.572 117.6 98062.0416666667 57.0618125 287.767181396484 3.93583625105219 300.669993896484 273.989993896484
2006 5 364.729758064516 271358.94 232.852411290323 173242.194 140.25 97921.0080645161 69.9122862903226 289.019462982506 3.2123108473581 303.549993896484 278.589993896484
2006 6 376.669844187325 271202.287814874 257.485961644837 185389.892384283 171.724615091917 98337.5833333333 71.9949416480995 294.210237250106 2.96280670760775 303.169993896484 286.109993896484
2006 7 394.644759959225 293615.701409663 255.507626034861 190097.673769937 112.095760950468 98410 74.3026171954884 297.315924135569 3.1423383885681 304.829993896484 287.779993896484
2006 8 393.737221778595 292940.493003275 220.390176163459 163970.291065614 82.5813588850174 98349.3010752688 77.9179590430108 296.468286008161 2.75362257699819 304.439993896484 288.569993896484
2006 9 360.571694444444 259611.62 169.028530555556 121700.542 81.4 98237.0138888889 78.8922847222222 290.303277229817 3.26690012878288 299.389993896484 280.139993896484
2006 10 324.700315860215 241577.035 131.766077956989 98033.962 118.1 98226.9489247312 68.1813360215054 284.447569165301 3.68758236941897 300.579993896484 272.279993896484
2006 11 306.552202777778 220717.586 80.8552541666667 58215.783 93.1 98520.0555555556 68.3228400833333 281.063010563151 3.51867029200135 294.979993896484 271.169993896484
2006 12 287.627091397849 213994.556 74.1133629032258 55140.342 147.55 98786.2768817204 69.8366778434113 277.07410679971 4.03769801649224 289.029993896484 259.029993896484
2007 1 281.8434865711 209691.554008899 77.924875029649 57976.1070220588 131.589441923128 98578.4323806363 76.3542640835403 273.744851367657 4.24259667548738 288.839993896484 258.989993896484
2007 2 255.156364583333 171465.077 114.683708333333 77067.452 37.55 98426.5667671076 68.2691844900445 267.76212021655 3.65487007638012 283.619993896484 252.729993896484
2007 3 311.855447580645 232020.453 171.24088844086 127403.221 88.9 98584.8505801423 60.5372618333333 283.169346197813 4.1209993776484 299.479993896484 264.279993896484
2007 4 314.436820833333 226394.511 199.345227777778 143528.564 101.9 98109.3888888889 57.7045152777778 284.007259174262 4.09955573778581 302.129993896484 268.019993896484
2007 5 355.312474462366 264352.481 262.68427688172 195437.102 37.15 98610.0268817204 58.5741344086021 293.096460294333 3.44923192949451 301.769993896484 280.029993896484
2007 6 380.237305555556 273770.86 264.797863888889 190654.462 125.75 98251.2916666667 67.0902736111111 295.538316118706 3.03635610238106 304.029993896484 284.989993896484
2007 7 373.906129032258 278186.16 277.583129032258 206521.848 81.15 98311.7204301075 67.4366935483871 295.615090670678 2.9574506079179 302.689993896484 286.089993896484
2007 8 398.879260752688 296766.17 246.941415322581 183724.413 23.9 98287.997311828 65.8596451612903 299.024637713688 3.10936827956989 306.659993896484 288.029993896484
2007 9 374.691370505715 269777.786764115 208.007255555556 149765.224 90.9 98607.8651051841 59.1320163065147 294.952129940407 3.12583851325986 306.509993896484 279.529993896484
2007 10 345.674521505376 257181.844 126.170715053763 93871.012 70.45 98396.6801075269 68.0945524193548 289.494380993258 3.63876887742119 303.159993896484 277.659993896484
2007 11 293.231966666667 211127.016 103.213668055556 74313.841 38.95 98589.1527777778 64.5145958333333 279.710567507595 3.80660945696374 292.099993896484 268.699993896484
2007 12 296.105447751014 220302.453126755 54.0957949866929 40247.2714700995 97.65 98489.7182492241 81.1148335020421 274.456494052557 3.58601351276238 290.929993896484 263.819993896484
2008 1 266.510811004609 198284.043387429 79.7832536803621 59358.7407381894 80.9694630872483 98630.5100669398 68.7482277080042 271.829421332002 4.37478996230095 291.429993896484 256.149993896484
2008 2 287.062261494253 199795.334 89.9957485632184 62637.041 90.3 98181.1436781609 73.7014252873563 272.371748206829 4.08881614014096 292.069993896484 259.739993896484
2008 3 295.953998655914 220189.775 128.425193548387 95548.344 161.6 98365.7768817204 67.1998602150538 278.176028842721 4.07517489883907 293.329993896484 266.139993896484
2008 4 321.086133333333 231182.016 205.130452777778 147693.926 67.3 98258.8972222222 59.4530666666667 285.64826195204 3.86548147639726 300.109993896484 273.879993896484
2008 5 343.732166666667 255736.732 216.623819892473 161168.122 159.35 97870.5994623656 65.7502056451613 288.855563788957 3.82871079238337 300.909993896484 280.159993896484
2008 6 376.831654111928 271318.790960588 272.210244674378 195991.376165552 401.1 98148.5648204786 67.4125516881552 295.906907274666 3.61747980908766 304.559993896484 287.539993896484
2008 7 386.997959677419 287926.482 265.206454301075 197313.602 182.35 98306.6384408602 69.8284153225806 296.858086638419 2.98468886794352 303.889993896484 289.410993896484
2008 8 372.367086021505 277041.112 257.644197580645 191687.283 33.85 98301.9583333333 67.6400727609494 296.140829681616 2.79861654114411 305.979993896484 286.709993896484
2008 9 364.683311111111 262571.984 189.640063888889 136540.846 44.15 98617.4333333333 67.7653583333333 293.961988340928 2.9419866172254 305.670993896484 283.379993896484
2008 10 315.389915322581 234650.097 157.496873655914 117177.674 51 98845.9126344086 60.3291357526882 286.523707606161 3.50335625139491 301.189993896484 272.029993896484
2008 11 291.749098611111 210059.351 89.0645333333333 64126.464 65.45 98480.8972222222 62.0452541666667 279.177953618706 3.67739803970584 295.649993896484 266.379993896484
2008 12 282.106178763441 209886.997 57.2064206989247 42561.577 140.25 98510.8293010753 73.1981465053763 272.683141745946 4.43892987038168 292.899993896484 256.019993896484
2009 1 260.372090854433 193716.835595698 81.2331317500791 60437.4500220588 19.3909420289855 98405.0621883712 69.6462386729161 268.904719072895 3.7862063314073 286.769993896484 251.439993896484
2009 2 274.714675595238 184608.262 119.684110119048 80427.722 54.9 98567.4375 66.1527886904762 274.936452229817 4.49716232948481 289.949993896484 258.819993896484
2009 3 298.079427563742 221771.094107424 168.032735987117 125016.355574415 41.3569706471423 98597.4987406458 55.6099882176684 281.209706733765 4.19847986092978 295.969993896484 262.939993896484
2009 4 325.112056944444 234080.681 183.836345833333 132362.169 173.25 98075.6722222222 61.2075637101697 285.557732801954 4.19793265393528 301.639993896484 273.039993896484
2009 5 352.757295698925 262451.428 242.882867528251 180704.853441019 138.05 98316.3373655914 62.5469516129032 291.173487176054 3.12265511896807 303.239993896484 280.199993896484
2009 6 383.962377418073 276452.911741013 259.053616056056 186518.60356036 188.1 97936.9267774644 69.2999826293849 296.021578257767 3.12797670213119 305.369993896484 283.559993896484
2009 7 378.59905184784 281677.694574793 224.604484624953 167105.736560965 181.3 98206.5268817204 72.7119095528584 294.396209436075 2.89734035727587 301.629993896484 285.929993896484
2009 8 377.407457255825 280791.148198334 243.7693836787 181364.421456953 64.8382188212765 98429.5664494204 73.7629308386072 295.559274600104 3.13858752810414 303.629993896484 283.919993896484
2009 9 362.573947222222 261053.242 184.179877777778 132609.512 66.95 98538.975 73.5562513888889 292.264443896484 2.98539119846511 301.379993896484 281.829993896484
2009 10 326.558303763441 242959.378 110.753411290323 82400.538 173.55 98266.7580932324 71.5843857526882 284.259139057774 3.69003902966145 294.099993896484 274.529993896484
2009 11 304.884019444444 219516.494 96.9857819444444 69829.763 31.35 98558.3597222222 65.0781083333333 282.580092507595 3.67059912928494 294.799993896484 272.349993896484
2009 12 279.682231182796 208083.58 55.8215819892473 41531.257 75.5 98380.5672043011 70.9538400537634 273.226042283581 3.84439406587459 285.409993896484 262.269993896484
2010 1 269.133878488842 200235.605595698 78.8493414274984 58663.9100220588 28.1909420289855 98563.9049303067 76.3171808772172 269.653106169669 3.63934835661384 284.249993896484 257.249993896484
2010 2 272.869933035714 183368.595 97.3171130952381 65397.1 5.3 98205.4755378823 70.6808258928571 270.946973063151 3.20051083937371 282.309993896484 261.549993896484
2010 3 300.303096774194 223425.504 158.120362903226 117641.55 75.85 98018.5268817204 64.2823857526882 281.186087982506 3.52455824132034 298.269993896484 270.689993896484
2010 4 326.459470833333 235050.819 224.647570833333 161746.251 90.8 98081.4944444444 51.3271888888889 289.390121674262 4.00853595980222 302.159993896484 275.759993896484
2010 5 366.213563172043 272462.891 216.577799731183 161133.883 133.5 98230.5577956989 70.2676693548387 291.87361352014 3.39462190550545 304.329993896484 276.699993896484
2010 6 388.00644671876 279364.641637507 278.112876063049 200241.270765396 159.868936521642 98187.5334496362 72.0252561479214 296.806404697268 3.27125303564513 305.099993896484 287.559993896484
