"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","Species.Model","RW.modeled"
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1914,NA,"PIEN",0.109032470900641
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1914,NA,"PIEN",0.167441830976673
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1914,NA,"PIEN",0.0914826844657838
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1914,NA,"PIEN",0.127041139982235
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1914,NA,"PIEN",0.135133012530036
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1914,NA,"POGR",0.179873367510689
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1914,NA,"PIEN",0.122978766138467
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1914,NA,"PIEN",0.131237706758367
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1914,NA,"PIEN",0.300588269078553
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1914,NA,"PSME",0.143273908978143
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1915,NA,"POGR",0.12244317133497
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1915,NA,"POGR",0.0947178842357577
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1915,NA,"ACSA",0.0947178842357577
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1915,NA,"QUAL",0.319569955483365
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1915,NA,"QURU",0.575484831524725
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1915,NA,"PRSE",0.339924931440281
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1915,NA,"QURU",0.859695944675644
"QUVE","Oak Openings Toledo","OOA","OOA030",32.3,1915,NA,"QUVE",0.646911965201284
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1915,NA,"PRSE",0.47661886337597
"PRSE","Oak Openings Toledo","OOB","OOB005",20.05,1915,NA,"PRSE",0.490010117628222
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1915,NA,"QUVE",0.592616056707267
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1915,NA,"QUAL",0.383391476986093
"QUAL","Oak Openings Toledo","OOB","OOB051",20.7,1915,NA,"QUAL",0.500471453085413
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1915,NA,"PIEN",0.0650840244175601
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1915,NA,"PIEN",0.105627435502668
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1915,NA,"PIEN",0.105971275312151
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1915,NA,"PIEN",0.0667983599893786
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1915,NA,"PIEN",0.0883381615258474
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1915,NA,"PIEN",0.0939648517796826
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1915,NA,"PIEN",0.0710530747653301
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1915,NA,"PIEN",0.0655084388096629
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1915,NA,"PIEN",0.0817098013632083
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1915,NA,"PIEN",0.0598104882008174
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1915,NA,"PIEN",0.142902316185926
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1915,NA,"PIEN",0.19649835794739
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1915,NA,"PIEN",0.111990810361312
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1915,NA,"PIEN",0.171984970940882
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1915,NA,"PIEN",0.0939648517796826
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1915,NA,"PIEN",0.126405358334149
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1915,NA,"PIEN",0.134456734834249
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1915,NA,"POGR",0.178973185207076
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1915,NA,"PIEN",0.1223633147766
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1915,NA,"PIEN",0.130580923251028
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1915,NA,"PIEN",0.299083964999284
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1915,NA,"PSME",0.142556889892903
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1916,NA,"POGR",0.123518977536022
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1916,NA,"POGR",0.0955500914229807
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1916,NA,"ACSA",0.0955500914229807
"QUAL","Oak Openings Toledo","OOA","OOA013",10.6,1916,NA,"QUAL",0.307132153545104
"QURU","Oak Openings Toledo","OOA","OOA016",28.7,1916,NA,"QURU",0.553086711081421
"PRSE","Oak Openings Toledo","OOA","OOA022",12.5,1916,NA,"PRSE",0.326694904966935
"QURU","Oak Openings Toledo","OOA","OOA023",41.05,1916,NA,"QURU",0.826236203847292
"QUVE","Oak Openings Toledo","OOA","OOA030",32.3,1916,NA,"QUVE",0.621733869586838
"PRSE","Oak Openings Toledo","OOA","OOA032",22.9,1916,NA,"PRSE",0.458068649499504
"PRSE","Oak Openings Toledo","OOB","OOB005",20.05,1916,NA,"PRSE",0.469887585194724
"QUVE","Oak Openings Toledo","OOB","OOB032",25.9,1916,NA,"QUVE",0.568279955486697
"QUAL","Oak Openings Toledo","OOB","OOB033",12.5,1916,NA,"QUAL",0.367647297115438
