"Species","Site","PlotID","TreeID","DBH..cm.","Year","RW","RW.modeled"
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1919,NA,0.0842653704221476
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1919,NA,0.0678138106792298
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1919,NA,0.107651863466218
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1919,NA,0.107986273563785
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1919,NA,0.0695175040886161
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1919,NA,0.0907687601703232
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1919,NA,0.0962785308698976
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1919,NA,0.0737372985026443
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1919,NA,0.0682357791474977
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1919,NA,0.0842574552793383
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1919,NA,0.0625599048138214
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1919,NA,0.143645757244315
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1919,NA,0.194670017434656
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1919,NA,0.113832847703
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1919,NA,0.171424131183277
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1919,NA,0.0962785308698976
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1919,NA,0.115073492366617
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1919,NA,0.122058588949953
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1919,NA,0.16036315155804
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1919,NA,0.111559168005928
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1919,NA,0.118698524577974
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1919,NA,0.261776712542401
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1919,NA,0.129066755738448
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1920,NA,0.108821367808286
"POGR","Morgan Monroe State Park","MMC","MMC009",33.2,1920,NA,0.0851728083129785
"ACSA","Morgan Monroe State Park","MMC","MMC028",33.2,1920,NA,0.0851728083129785
"PIEN","Valles Caldera Upper","VUA","VUF014",10.3,1920,NA,0.0694847072273355
"PIEN","Valles Caldera Upper","VUA","VUF025",25.2,1920,NA,0.110304348634964
"PIEN","Valles Caldera Upper","VUA","VUF027",25.3,1920,NA,0.110646998421056
"PIEN","Valles Caldera Upper","VUA","VUF028",11.1,1920,NA,0.0712303787442527
"PIEN","Valles Caldera Upper","VUA","VUF029",19.7,1920,NA,0.093005254573533
"PIEN","Valles Caldera Upper","VUA","VUF030",21.6,1920,NA,0.0986507831187522
"PIEN","Valles Caldera Upper","VUA","VUF031",13,1920,NA,0.0755541466682414
"PIEN","Valles Caldera Upper","VUA","VUF033",10.5,1920,NA,0.0699170727762272
"PIEN","Valles Caldera Upper","VUA","VUF034",17.3,1920,NA,0.0863335145623707
"PIEN","Valles Caldera Upper","VUA","VUF035",7.7,1920,NA,0.0641013478909209
"PIEN","Valles Caldera Upper","VUA","VUF038",34.5,1920,NA,0.147185112982114
"PIEN","Valles Caldera Upper","VUA","VUF039",44.3,1920,NA,0.199466584046874
"PIEN","Valles Caldera Upper","VUA","VUF041",27,1920,NA,0.116637629065128
"PIEN","Valles Caldera Upper","VUA","VUF042",40.2,1920,NA,0.17564793141198
"PIEN","Valles Caldera Upper","VUA","VUF043",21.6,1920,NA,0.0986507831187522
"PIEN","Valles Caldera Upper","VUB","VUF103",9.1,1920,NA,0.114406931098649
"PIEN","Valles Caldera Upper","VUB","VUF113",11,1920,NA,0.121351566627577
"POTR","Valles Caldera Upper","VUB","VUF121",19.8,1920,NA,0.159434250701383
"PIEN","Valles Caldera Upper","VUB","VUF123",8.1,1920,NA,0.110912963402677
"PIEN","Valles Caldera Upper","VUB","VUF126",10.1,1920,NA,0.118010965371927
"PIEN","Valles Caldera Upper","VUB","VUF127",35.6,1920,NA,0.260260375340425
"PSME","Valles Caldera Upper","VUB","VUF141",12.8,1920,NA,0.12831913872789
"POGR","Morgan Monroe State Park","MMC","MMC004",41.1,1921,NA,0.109986165000729
