"","ACSA","NYSY","ASTR","FAGR","FRAX","LITU","POGR","QUAL","QURU","SAAL","TIAM","ULRU"
"1977",0.118040751443515,0.00318819864002434,0.00126584376507904,0.0475559734629846,0.0293098819146319,0.0743307873190542,0.00355365228346355,0.0702680347980889,0.092316335776955,0.00371522275833451,0.000724998715913479,0.00480411033121592
"1976",0.122173071059937,0.00342533306499868,0,0.0548821750081914,0.0344480151551315,0.121318025328693,0.00326151902844104,0.0846793827374581,0.0806489882853185,0.00331867054035728,0.000818909518963171,0.00771248313329997
"1975",0.105686440545997,0.00344912437744499,0,0.0416790698771131,0.0336493143609464,0.129407669339666,0.00239377939919494,0.0605817673095617,0.0750680116382885,0.00333657870982203,0.000906901476375191,0.00694595209851323
"1974",0.0825387929050085,0.00407506330691942,0,0.0327436451028584,0.0258185316019861,0.122462941094146,0.00213940888477478,0.0652629156801789,0.0461570311262376,0.00276072776811342,0.000978735150110467,0.00527146003538174
"1973",0.061212033899338,0.00238057846202792,0,0.0230959794605642,0.0194099413439373,0.111535646613075,0.00180665740204171,0.0548981708918124,0.0438903123104541,0.00147335574876096,0.0010180303023463,0.00350857388124684
"1972",0.0541757442531405,0.0024468076314083,0,0.0241988863591166,0.0136606015753014,0.0727980724341382,0.000942185564512144,0.0472898014324632,0.0556672946306724,0.00138379370234275,0.00114676630735601,0.00360527044158786
"1971",0.061133581420743,0.0018698359765139,0,0.0197747525879608,0.0168356993881273,0.0739166643282134,0.000963213251880981,0.0425587636567686,0.0616692014633928,0.0013328430125433,0.00111866679556421,0.00459318207505015
"1970",0.0539349674595293,0.00176851609000645,0,0.0178059710454853,0.0135581132331762,0.0398808234769916,0.000855240005777912,0.0392429216391106,0.071164063005539,0.00144497321995015,0.00108267006247063,0.00217025221011252
"1969",0.0612817002041295,0.00141839215100061,0,0.0275239656075865,0.0149698844836804,0.0747766188686834,0.000806700656629759,0.0475482911728058,0.0800086100874235,0.0012223612201997,0.00137010584630353,0.0027964567494721
"1968",0.0659904335386607,0.00172360544135736,0,0.0274598289179182,0.0136014785724987,0.0838155713853386,0.000681920091296099,0.0515435220429974,0.0818022618349223,0.00122350337111673,0.00134247758990523,0.00324353674381238
